artist,album,track,id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence
Travis Scott,Whole Lotta Lovin' (Bad Royale Remix),Whole Lotta Lovin' - Bad Royale Remix,7hZlJi2VKfvM9WL5BJo0i8,0.94,0.0752,127.943,0.248,0.0182,0.000148,4,0.667,4,224027,-4.37,0.717
Travis Scott,Whole Lotta Lovin' (Djemba Djemba Remix),Whole Lotta Lovin' - Djemba Djemba Remix,4GnTHqR5cSeJgBOWXLIFT3,0.734,0.325,141.955,0.0358,0.0134,0.00317,4,0.669,4,222427,-6.663,0.196
Travis Scott,Whole Lotta Lovin' (Le Boeuf Remix),Whole Lotta Lovin' - Le Boeuf Remix,0ve8TlcRP5e6N9p4C4hQ9Z,0.765,0.108,113.989,0.0452,0.187,0.000226,4,0.758,4,189880,-3.966,0.682
Travis Scott,Whole Lotta Lovin' (LeMarquis Remix),Whole Lotta Lovin' - LeMarquis Remix,0z9PMxrUVfCLc3e7itESJL,0.786,0.146,120.043,0.232,0.409,2.14e-06,4,0.784,4,226427,-6.822,0.544
Travis Scott,A-Team,A-Team,5cgEadiGKjtTP1Q6NJqVP5,0.526,0.107,127.977,0.0452,0.0485,0.00627,4,0.626,7,176640,-4.112,0.17
Travis Scott,Whole Lotta Lovin',Whole Lotta Lovin',01gNiOqg8u7vT90uVgOVmz,0.398,0.0634,119.973,0.0558,0.135,3.78e-06,4,0.51,4,299160,-8.75,0.382
Travis Scott,Don't Play (feat. The 1975 & Big Sean),Don't Play (feat. The 1975 & Big Sean),2QKBvCMHdokPoy2b44dK2m,0.729,0.148,128.014,0.0326,0.00203,0.0,4,0.681,0,285954,-3.99,0.101
Travis Scott,Mamacita (feat. Rich Homie Quan & Young Thug),Mamacita (feat. Rich Homie Quan & Young Thug),3SEd8nPd8MpGwk6ZZ8tk2j,0.768,0.127,115.021,0.0819,0.0146,1.03e-06,4,0.823,11,274320,-6.21,0.216
Travis Scott,Upper Echelon (feat. T.I. & 2 Chainz),Upper Echelon (feat. T.I. & 2 Chainz),1x6Zk7hoTIlSOFNZnyxjZD,0.617,0.088,122.065,0.0651,0.0448,0.0,4,0.788,2,243800,-4.516,0.128
Lil Uzi Vert,Pluto x Baby Pluto (Deluxe),Tic Tac,0anUgBvnA4u5LsHUeLRprc,0.566,0.11,132.858,0.226,0.0773,0.0,4,0.942,11,189147,-4.834,0.479
